feature,importance,method
Rad,165.59610688153438,coef_abs
Irr_Drip,157.37663464691522,coef_abs
Pest_Count,146.36698962602705,coef_abs
Irr_Count,143.87714446027894,coef_abs
Sow_DOY,143.3490031034589,coef_abs
Irr_Sprinkler,98.8595073202716,coef_abs
RH,98.61286158311759,coef_abs
Irr_Elec,63.58230100222181,coef_abs
Region,57.85357155734226,coef_abs
Irr_Flood,55.60127810178651,coef_abs
Density,52.423031772331555,coef_abs
Wind,40.492894626354065,coef_abs
Irr_None,35.05493851190387,coef_abs
Lodging,27.76971953116489,coef_abs
Fer_P,25.467904805177174,coef_abs
Pest_Cost,19.49278083043451,coef_abs
Fer_N,19.167998056941624,coef_abs
Precip,15.7979927848435,coef_abs
Fer_Count,8.026880955197925,coef_abs
Fer_K,0.0,coef_abs
